created_at,updated_at,owner_id,link_id,collected_at,internal_identification,first_name,last_name,second_last_name,business_name,email,phone_number,address,document_type,document_number
2022-07-04T01:57:26.538118Z,2022-07-04T01:57:26.53835Z,847b862d-3c5c-4e5d-a246-e9f78958aef8,7c81871f-2835-4855-8463-b141fb978c0a,2022-07-04T00:19:48.260920Z,b9d5753f,Samuel,Olmos,Cotto,,estradajorge-luis@gmail.com,183-936-0205x3908,"Circunvalación Norte Quintana 159 058
San Judith de la Montaña, CAMP 53347-7154",CURP,BOKT250128MNETLN07
2022-07-04T01:57:31.144489Z,2022-07-04T01:57:31.144723Z,e4461631-de9a-43ca-a1f7-7e647789ecd7,9ecb29e5-e401-40a3-a502-64381203b9a0,2022-07-04T01:57:23.938602Z,f6a7cc1a,Óliver,Figueroa,Carranza,,icervantes@hotmail.com,(283)033-8965,"Callejón Norte Alvarado 064 Interior 745
Nueva Kirguistán, HGO 72184-9342",CURP,MAUM990625HTSHNI03
2022-07-01T14:34:59.369887Z,2022-07-07T21:25:51.314479Z,1a7ce006-7abc-42de-bed1-c79bb96a629b,a1987c87-354e-459f-808f-95ee7df81a55,2022-07-01T14:34:55.357213Z,69ec8fa8,Vicente,Teixeira,Santos,,ferreirakamilly@yahoo.com.br,+55 (061) 8885 2069,"Morro Ana Lívia Melo, 49
Vila Da Paz
29802877 da Mata / MS",CPF,946.207.158-67
2022-07-13T18:10:19.648865Z,2022-07-13T18:10:19.649098Z,7752dfb6-9fed-445d-9e49-d991199c791d,35b01e0d-8cfa-44e1-8758-358dda2933b3,2022-07-13T11:31:06.057187Z,bb1bfc03,Cristal,Baeza,Corral,,cejajoaquin@yahoo.com,222.520.3620,"Viaducto Velázquez 778 Interior 904
Nueva Malasia, SLP 00283-5595",CURP,QOWG781113HJCJHR01
2022-07-08T15:25:38.864806Z,2022-07-08T15:25:38.865032Z,5a2da1fd-51fa-44c3-becc-33ac4e0e4deb,2c4dcc41-b4c4-4518-b365-1f165eea27ca,2022-07-08T14:46:09.072750Z,b1eaf0ac,Guadalupe,Gamboa,Haro,,tmarroquin@osorio.com,1-447-774-0603x1079,"Peatonal Nuevo León 667 235
San René los altos, CAMP 84466-3067",CURP,YERA211028HMNQVK08
2022-07-28T19:30:36.968947Z,2022-07-28T19:30:36.969196Z,5e6e9f80-b42e-477a-8038-50a739443266,7b6f82f8-0e0b-4d57-8e70-e77f1f946624,2022-07-28T19:30:30.092621Z,41406f0d,César,Vélez,Melgar,,cristianpina@gmail.com,+80(4)1687426326,"Circunvalación Quiñones 534 Interior 522
San Jerónimo de la Montaña, CHIS 84297-9280",CURP,DORQ130825MQRSQD07
2022-07-01T12:05:58.799785Z,2022-07-07T19:10:34.191701Z,2d290682-89d6-4aef-b2d0-7cdb4965a14c,893ace2e-35ab-4706-9856-4d80be5aa16b,2022-07-01T12:05:54.964755Z,c511c783,Luana,Cavalcanti,da Luz,,daniela81@hotmail.com,+55 (031) 2848-1890,"Viaduto de Gomes, 653
Vila Coqueiral
13277375 Martins / CE",CPF,503.268.471-62
2022-07-01T12:07:35.363459Z,2022-07-07T17:15:19.404201Z,483b4763-c224-4aa0-8880-8722cbd94f34,d47bffb8-b3bc-4bfa-a9f2-a9af618a5dbc,2022-07-01T12:07:31.570007Z,1fee6107,Ana Julia,Rodrigues,Oliveira,,luiz-henriqueda-conceicao@bol.com.br,(041) 3165 1352,"Estação Fernando Novaes, 91
Oeste
41718295 Farias de Fernandes / RN",CPF,806.924.753-38
2022-07-01T12:02:58.479031Z,2022-07-07T21:40:55.836639Z,c8d84d1a-4b3c-464c-ac47-1ca786f3917b,a2a846a2-9fdb-436a-8d6f-fa3cd2b8fe11,2022-07-01T12:02:54.763941Z,692f06b5,Gustavo,Cardoso,Mendes,,araujosophia@sales.br,+55 41 8298-3775,"Praia de Nogueira, 4
Bacurau
11593056 Nogueira de Fernandes / PR",CPF,802.649.735-00
2022-07-07T22:17:05.296444Z,2022-07-07T22:17:05.296659Z,c58915bf-082c-432a-a004-65ac50792700,ed85d65a-0c96-4337-84fc-b74f4a4fcc19,2022-07-07T22:16:56.814569Z,f4802af8,Raúl,Medrano,Zamora,,perla54@gmail.com,166-975-9239,"Continuación Sur Apodaca 270 Edif. 017 , Depto. 920
Vieja Bhután, PUE 48689",CURP,XUQB710728MBSJVN05
